Nome,Seeders,Leechers,Tipo
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,5232,243,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,5375,274,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,4675,179,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,4431,159,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3121,103,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3957,111,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3485,82,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3483,83,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2653,49,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2622,60,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2362,49,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2337,47,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2173,37,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2077,37,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2001,31,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1786,36,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1580,33,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1590,26,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1788,31,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1608,21,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1599,31,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1385,20,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1523,40,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1555,37,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1632,38,1
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,7826,2493,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,2053,667,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1060,138,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,2003,161,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1469,91,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1618,119,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1367,87,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1208,82,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,992,70,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1125,92,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,932,63,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,890,54,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,644,50,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,708,39,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,607,38,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,541,37,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,588,42,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,503,37,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,493,37,1
