Nome,seeders,leechers
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3957,111
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3485,82
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,3483,83
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2653,49
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2622,60
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2362,49
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2337,47
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2173,37
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2077,37
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,2001,31
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1786,36
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1580,33
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1590,26
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1788,31
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1608,21
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1599,31
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1385,20
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1523,40
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1555,37
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1632,38
 Game.of.Thrones.S07E07.720p.WEB.H264-STRiFE,1384,15
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,7826,2493
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,2053,667
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1060,138
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,2003,161
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1469,91
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1618,119
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1367,87
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1208,82
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,992,70
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,1125,92
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,932,63
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,890,54
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,644,50
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,708,39
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,607,38
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,541,37
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,588,42
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,503,37
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,493,37
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,481,31
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,500,37
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,388,25
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,395,29
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,425,34
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,388,25
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,425,38
