The One Where Rachel Smokes,1823,8.1,S5,18
The One Where Ross Can't Flirt,2042,8.8,S5,19
The One with the Ride Along,1792,8.4,S5,20
The One with the Ball,1888,8.6,S5,21
The One with Joey's Big Break,1780,8.4,S5,22
The One in Vegas: Part 1,2107,8.9,S5,23
The One in Vegas: Part 2,2378,9.1,S5,24
The One After Vegas,1999,8.8,S6,1
The One Where Ross Hugs Rachel,1795,8.3,S6,2
The One with Ross's Denial,1770,8.3,S6,3
The One Where Joey Loses His Insurance,1850,8.6,S6,4
The One with Joey's Porsche,1809,8.3,S6,5
The One on the Last Night,1825,8.6,S6,6
The One Where Phoebe Runs,1858,8.5,S6,7
The One with Ross' Teeth,1932,8.6,S6,8
The One Where Ross Got High,2656,9.2,S6,9
The One with the Routine,1934,8.7,S6,10
The One with the Apothecary Table,1811,8.2,S6,11
The One with the Joke,1767,8.2,S6,12
The One with Rachel's Sister,1858,8.3,S6,13
The One Where Chandler Can't Cry,1870,8.7,S6,14
The One That Could Have Been: Part 1,1931,8.6,S6,15
The One That Could Have Been: Part 2,1891,8.6,S6,16
The One with Unagi,2746,9.1,S6,17
The One Where Ross Dates a Student,1784,8.4,S6,18
The One with Joey's Fridge,1820,8.4,S6,19
The One with Mac and C.H.E.E.S.E.,1908,7.6,S6,20
The One Where Ross Meets Elizabeth's Dad,1931,8.7,S6,21
The One Where Paul's the Man,2297,9.0,S6,22
The One with the Ring,1884,8.7,S6,23
The One with the Proposal: Part 1,1915,8.8,S6,24
The One with the Proposal: Part 2,2604,9.3,S6,25
The One with Monica's Thunder,1864,8.5,S7,1
The One with Rachel's Book,1762,8.4,S7,2
The One with Phoebe's Cookies,1750,8.3,S7,3
The One with Rachel's Assistant,1779,8.2,S7,4
The One with the Engagement Picture,1753,8.2,S7,5
The One with the Nap Partners,2162,9.0,S7,6
The One with Ross's Library Book,1807,8.6,S7,7
The One Where Chandler Doesn't Like Dogs,1739,8.3,S7,8
The One with All the Candy,1727,8.2,S7,9
The One with the Holiday Armadillo,1905,8.6,S7,10
The One with All the Cheesecakes,1854,8.6,S7,11
The One Where They're Up All Night,1893,8.7,S7,12
The One Where Rosita Dies,1776,8.5,S7,13
The One Where They All Turn Thirty,1847,8.6,S7,14
The One with Joey's New Brain,1847,8.5,S7,15
The One with the Truth About London,1838,8.7,S7,16
The One with the Cheap Wedding Dress,1733,8.5,S7,17
The One with Joey's Award,1761,8.5,S7,18
The One with Ross and Monica's Cousin,2018,8.8,S7,19
The One with Rachel's Big Kiss,1849,8.5,S7,20
The One with the Vows,1766,7.6,S7,21
The One with Chandler's Dad,1792,8.5,S7,22
The One with Monica and Chandler's Wedding: Part 1,2053,8.9,S7,23
The One with Monica and Chandler's Wedding: Part 2,2316,9.2,S7,24
The One After I Do,1885,8.7,S8,1
The One with the Red Sweater,2178,9.1,S8,2
The One Where Rachel Tells...,1787,8.7,S8,3
The One with the Videotape,2595,9.3,S8,4
The One with Rachel's Date,1706,8.2,S8,5
The One with the Halloween Party,1875,8.6,S8,6
The One with the Stain,1721,8.0,S8,7
The One with the Stripper,1926,8.9,S8,8
The One with the Rumor,3597,9.4,S8,9
The One with Monica's Boots,1736,8.2,S8,10
The One with Ross's Step Forward,1639,8.2,S8,11
The One Where Joey Dates Rachel,1791,8.6,S8,12
The One Where Chandler Takes a Bath,1736,8.6,S8,13
The One with the Secret Closet,1650,8.3,S8,14
The One with the Birthing Video,1639,8.5,S8,15
The One Where Joey Tells Rachel,1662,8.4,S8,16
The One with the Tea Leaves,1692,8.2,S8,17
The One in Massapequa,1695,8.3,S8,18
The One with Joey's Interview,1717,7.7,S8,19
The One with the Baby Shower,1670,8.3,S8,20
The One with the Cooking Class,1680,8.3,S8,21
The One Where Rachel Is Late,1652,8.4,S8,22
The One Where Rachel Has a Baby: Part 1,1812,8.8,S8,23
The One Where Rachel Has a Baby: Part 2,2014,9.0,S8,24
The One Where No One Proposes,1813,8.6,S9,1
The One Where Emma Cries,1844,8.6,S9,2
The One with the Pediatrician,1724,8.4,S9,3
The One with the Sharks,1724,8.3,S9,4
The One with Phoebe's Birthday Dinner,1731,8.5,S9,5
The One with the Male Nanny,1854,8.5,S9,6
The One with Ross's Inappropriate Song,1848,8.7,S9,7
